"Source:","/home/schuyler/Documents/projects/LC_meter/ecad/LC_meter.kicad_sch"
"Date:","Thu 21 Dec 2023 10:45:51 PM MST"
"Tool:","Eeschema 7.0.9-7.0.9~ubuntu22.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","93"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Availability","Check_prices","Description","Distributor","Distributor Part #","MANUFACTURER","MF","MP","PARTREV","Package","Part #","Price","Purchase-URL","SNAPEDA_PN","STANDARD","SnapEDA_Link","Unit Price"
"26","4","R8, R9, R10, R11","13k","Device:R_US","Resistor_SMD:R_0805_2012Metric","~","","","","","DIGIKEY","RMCF0805FT13K0CT-ND","","","","","","RMCF0805FT13K0","","","","","","0.1"
"27","1","R12","187k","Device:R_US","Resistor_SMD:R_0805_2012Metric","~","","","","","DIGIKEY","738-RMCF0805FT187KCT-ND","","","","","","RMCF0805FT187K","","","","","","0.1"
"28","1","R13","249+/-0.1%","Device:R_US","Resistor_SMD:R_0805_2012Metric","~","","","","","DIGIKEY","P20523CT-ND","","","","","","ERJ-PB6B2490V","","","","","","0.37"
"29","1","R14","2.49k+/-0.1%","Device:R_US","Resistor_SMD:R_0805_2012Metric","~","","","","","DIGIKEY","13-RP0805BRD072K49LCT-ND","","","","","","RP0805BRD072K49L","","","","","","0.48"
"30","2","R15, R26","2.21k+/-0.1%","Device:R_US","Resistor_SMD:R_0805_2012Metric","~","","","","","DIGIKEY","P2.21KDACT-ND","","","","","","ERA-6AEB2211V","","","","","","0.32"
"31","7","R17, R24, R25, R28, R29, R30, R31","10k","Device:R_US","Resistor_SMD:R_0805_2012Metric","~","","","","","DIGIKEY","RMCF0805FT10K0CT-ND","","","","","","RMCF0805FT10K0","","","","","","0.1"
"32","2","R18, R22","1k","Device:R_US","Resistor_SMD:R_0805_2012Metric","~","","","","","DIGIKEY","RMCF0805FT1K00CT-ND","","","","","","RMCF0805FT1K00","","","","","","0.1"
"33","2","R19, R20","PNU","Device:R_US","Resistor_SMD:R_0805_2012Metric","~","DNP","","","","N/A","N/A","","","","","","N/A","N/A","","","","","N/A"
"34","1","R21","68","Device:R_US","Resistor_SMD:R_0805_2012Metric","~","","","","","DIGIKEY","P68DACT-ND","","","","","","ERA-6AEB680V","","","","","","0.32"
"35","1","R23","0","Device:R_US","Resistor_SMD:R_0805_2012Metric","~","","","","","DIGIKEY","RMCF0805ZT0R00CT-ND","","","","","","RMCF0805ZT0R00","","","","","","0.1"
"36","1","R38","1.78k","Device:R_US","Resistor_SMD:R_0805_2012Metric","~","","","","","DIGIKEY","YAG4850CT-ND","","","","","","RT0805BRD071K78L","","","","","","0.36"
"37","13","TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13","4952","Connector:TestPoint_Alt","Connector_Pin:Pin_D1.2mm_L10.2mm_W2.9mm_FlatFork","~","","","","","DIGIKEY","36-4952-ND","","","","","","4952","","","","","","0.26"
"38","1","U1","LM6144xIx","Amplifier_Operational:LM6144xIx","Package_DIP:DIP-14_W7.62mm","https://www.ti.com/lit/ds/symlink/lm6142.pdf","","","","","DIGIKEY","LM6144BIN/NOPB-ND","","","","","","LM6144BIN/NOPB","","","","","","9.01"
"39","1","U2","LM4030-4.096","Reference_Voltage:LM4030-4.096","Package_TO_SOT_SMD:SOT-23-5","http://www.ti.com/lit/ds/symlink/lm4030.pdf","","","","","DIGIKEY","296-41427-1-ND","","","","","","LM4030CMF-4.096/NOPB","","","","","","1.7"
"40","1","U3","Raspberry Pi Pico SC0915","LCR_parts:SC0915","LC_meter:MODULE_SC0915","","","In Stock","https://www.snapeda.com/parts/SC0915/Raspberry+Pi/view-part/?ref=eda","Raspberry Pi Pico Embedded Dev Module | Raspberry Pi SC0915","DIGIKEY","2648-SC0915CT-ND","Pi Supply","Raspberry Pi","SC0915","1.9","None","SC0915","None","https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=6331605&manufacturer=Raspberry Pi&part_name=SC0915&search_term=raspberry pi pico","SC0915","Manufacturer Recommendations","https://www.snapeda.com/parts/SC0915/Raspberry+Pi/view-part/?ref=snap","4"
"41","1","U4","ADS8328IPW","LCR_parts:ADS8328IPW","Package_SO:TSSOP-16_4.4x5mm_P0.65mm","","","In Stock","https://www.snapeda.com/parts/ADS8328IPW/Texas+Instruments/view-part/?ref=eda","2.7V-to-5.5V 16-Bit 500kSPS Serial ADC With 2-to-1 Multiplexer","DIGIKEY","296-19766-ND","","Texas Instruments","ADS8328IPW","","TSSOP-16 Texas Instruments","ADS8328IPW","None","https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=1218431&manufacturer=Texas Instruments&part_name=ADS8328IPW&search_term=ads8328ipw","","","https://www.snapeda.com/parts/ADS8328IPW/Texas+Instruments/view-part/?ref=snap","14.78"
"42","1","U5","LM1117DT-3.3","Regulator_Linear:LM1117DT-3.3","Package_TO_SOT_SMD:TO-252-3_TabPin2","http://www.ti.com/lit/ds/symlink/lm1117.pdf","","","","","DIGIKEY","LM1117DT-3.3/NOPB-ND","","","","","","LM1117DT-3.3/NOPB","","","","","","1.81"
"43","1","U6","LM6142xIx","Amplifier_Operational:LM6142xIx","Package_DIP:DIP-8_W7.62mm","https://www.ti.com/lit/ds/symlink/lm6142.pdf","","","","","MOUSER"," 926-LM6142BIN/NOPB ","","","","","","LM6142BIN/NOPB ","","","","","","5.58"
"44","1","U8","LM1117DT-5.0","Regulator_Linear:LM1117DT-5.0","Package_TO_SOT_SMD:TO-252-3_TabPin2","http://www.ti.com/lit/ds/symlink/lm1117.pdf","","","","","DIGIKEY","LM1117DT-5.0/NOPB-ND","","","","","","LM1117DT-5.0/NOPB","","","","","","1.81"
